Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_DENSITY,ORG_TOT_POP,ORG_TOT_POP1,ORG_URBANPOP,ORG_RURALPOP,ORG_MEDAGE,ORG_HOUSEUNITS,ORG_OCCUNIT,ORG_VACUNIT,ORG_VACUNITRNT,ORG_VACUNITRNO,ORG_VACUNITSAL,ORG_VACUNITSNO,ORG_VACUNITSEA,ORG_VACUNITMIG,ORG_VACUNITOTH,ORG_HOUSEUNITS1,ORG_OOCCHH,ORG_ROCCHH,ORG_HOUSEUNITS2,ORG_S_1D,ORG_S_1A,ORG_S_2,ORG_S_3_4,ORG_S_5_9,ORG_S_10_19,ORG_S_50P,ORG_STRAILER,ORG_SOTHER,ORG_HOUSEUNITS3,ORG_RNTL250,ORG_RNT25L50,ORG_RNT50L75,ORG_RNT75L100,ORG_RNT100L125,ORG_RENTNOCASH,ORG_HOUSEUNITS4,ORG_MORTANY,ORG_NOMORT,ORG_HOUSEUNITS6,ORG_BLT_10P,ORG_BLT_00_09,ORG_BLT_90_99,ORG_BLT_80_89,ORG_BLT_70_79,ORG_BLT_60_69,ORG_BLT_50_59,ORG_BLT_40_49,ORG_BLT_L39,ORG_HOUSEUNITS7,ORG_MOV_10P,ORG_MOV_00_09,ORG_MOV_90_99,ORG_MOV_80_89,ORG_MOV_70_79,ORG_MOV_L69,ORG_AVGHHINC,ORG_EASIDAYPOP,ORG_POP90,ORG_POP00,ORG_POP10,ORG_POP20,ORG_POP25,ORG_HH90,ORG_HH00,ORG_HH10,ORG_HH20,ORG_HH25
"53033000100","53033000100","53033000100, King, Washington","00","53","033","000100",,,,,9891.8,7297,7297,7297,0,36.5,4017,3720,297,215,7,15,11,13,0,36,4017,987,2733,4017,1112,119,34,219,315,299,1190,45,0,4017,375,38,619,1037,275,16,987,709,278,4017,924,399,419,491,613,484,257,134,296,4017,2896,457,181,125,27,34,81307,6067,4892,5530,6255,7297,7620,2385,2573,3146,3720,3901
"53033000200","53033000200","53033000200, King, Washington","00","53","033","000200",,,,,7082.8,8987,8987,8987,0,39.5,4366,4167,199,103,9,13,4,18,0,52,4366,2166,2001,4366,2000,194,70,162,266,238,678,31,0,4366,60,51,190,736,454,297,2166,1475,691,4366,1036,247,177,511,847,430,595,319,204,4366,2827,681,265,191,157,46,85746,8135,7097,7345,7646,8987,9377,3276,3361,3499,4167,4367
"53033000300","53033000300","53033000300, King, Washington","00","53","033","000300",,,,,6515,3045,3045,3045,0,39.3,1361,1290,71,35,0,15,0,2,0,19,1361,819,471,1361,993,104,25,27,44,45,11,0,0,1361,15,9,33,132,59,0,819,602,217,1361,325,74,30,67,121,143,309,239,53,1361,835,210,112,33,60,40,103214,2010,2466,2486,2603,3045,3181,1051,1068,1090,1290,1353
"53033000401","53033000401","53033000401, King, Washington","00","53","033","000401",,,,,13009.6,6439,6439,6439,0,41.9,4272,3693,579,407,6,103,9,29,0,25,4272,1008,2685,4272,764,153,23,47,69,175,1876,0,0,4272,462,272,316,776,609,0,1008,715,293,4272,1003,652,397,490,602,503,253,247,125,4272,2924,562,100,64,20,23,60949,5177,3822,4734,5551,6439,6716,2293,2669,3134,3693,3871
"53033000500","53033000500","53033000500, King, Washington","00","53","033","000500",,,,,3298.9,3672,3672,3672,0,52.6,1573,1515,58,6,0,11,2,9,0,30,1573,1396,119,1573,1500,15,0,0,0,0,0,0,0,1573,3,2,3,3,33,4,1396,892,504,1573,370,2,39,49,78,160,608,193,74,1573,816,244,208,112,87,48,220887,2605,3097,3265,3165,3672,3834,1272,1331,1289,1515,1589
"53033010900","53033010900","53033010900, King, Washington","00","53","033","010900",,,,,810,1498,1498,1498,0,37.9,790,734,56,24,1,2,1,2,0,26,790,251,483,790,425,59,67,21,34,85,14,0,0,790,0,124,176,99,5,0,251,195,56,790,188,58,20,0,30,6,59,49,380,790,538,130,28,25,13,0,65233,4897,1030,1181,1287,1498,1559,511,585,619,734,769
"53033011700","53033011700","53033011700, King, Washington","00","53","033","011700",,,,,4686.4,6344,6344,6344,0,40.3,1993,1904,89,21,1,11,6,4,0,46,1993,1269,635,1993,1774,0,27,93,0,10,0,0,0,1993,30,42,71,157,114,58,1269,904,365,1993,431,129,211,169,132,272,269,128,252,1993,1178,312,189,87,89,49,88678,4448,3897,5112,5538,6344,6625,1351,1564,1639,1904,1997
"53033011900","53033011900","53033011900, King, Washington","00","53","033","011900",,,,,6691.8,8205,8205,8205,0,41.4,2983,2837,146,23,2,22,17,10,0,72,2983,2115,722,2983,2627,38,0,63,14,0,0,0,31,2983,0,59,108,166,95,13,2115,1614,501,2983,652,53,368,73,198,308,755,233,343,2983,1703,440,323,248,77,46,91444,5584,5480,7255,7108,8205,8569,1943,2510,2425,2837,2975
"53033012100","53033012100","53033012100, King, Washington","00","53","033","012100",,,,,4664.5,3100,3100,3100,0,50.6,1434,1363,71,7,0,13,3,17,0,31,1434,1157,206,1434,1178,14,17,0,12,69,33,11,0,1434,0,0,0,9,15,48,1157,765,392,1434,326,37,52,44,131,201,259,275,109,1434,771,215,109,120,114,34,157272,2094,2583,2549,2681,3100,3243,1094,1104,1164,1363,1431
"53033026400","53033026400","53033026400, King, Washington","00","53","033","026400",,,,,3631.9,6703,6703,6703,0,33.9,2885,2680,205,118,5,18,7,17,0,40,2885,1045,1635,2885,795,226,32,196,286,557,251,36,0,2885,0,52,408,613,360,0,1045,694,351,2885,648,113,52,378,642,358,394,160,140,2885,1950,393,131,104,64,38,63577,11630,5123,5851,5745,6703,6999,2224,2356,2268,2680,2809
"53033026500","53033026500","53033026500, King, Washington","00","53","033","026500",,,,,5248,4040,4040,4040,0,38.9,1580,1492,88,51,1,10,1,3,0,22,1580,595,897,1580,840,118,170,107,99,36,87,8,0,1580,157,177,198,228,30,0,595,456,139,1580,445,255,29,55,144,75,250,133,194,1580,1093,219,91,57,3,29,64032,2695,3744,4145,3459,4040,4221,1259,1407,1258,1492,1566
"53033026600","53033026600","53033026600, King, Washington","00","53","033","026600",,,,,6035.3,2704,2704,2704,0,37,1059,993,66,16,0,10,3,0,0,37,1059,650,343,1059,847,0,30,17,13,50,0,36,0,1059,0,18,33,42,130,35,650,505,145,1059,241,99,53,83,100,43,139,106,195,1059,616,158,71,61,68,19,83246,1935,2138,2144,2306,2704,2822,788,765,836,993,1040
