Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_EASIQLIFE
"53033000100","53033000100","53033000100, King, Washington","00","53","033","000100",,,,,125
"53033000200","53033000200","53033000200, King, Washington","00","53","033","000200",,,,,126
"53033000300","53033000300","53033000300, King, Washington","00","53","033","000300",,,,,121
"53033000401","53033000401","53033000401, King, Washington","00","53","033","000401",,,,,121
"53033000500","53033000500","53033000500, King, Washington","00","53","033","000500",,,,,129
"53033010900","53033010900","53033010900, King, Washington","00","53","033","010900",,,,,121
"53033011700","53033011700","53033011700, King, Washington","00","53","033","011700",,,,,126
"53033011900","53033011900","53033011900, King, Washington","00","53","033","011900",,,,,132
"53033012100","53033012100","53033012100, King, Washington","00","53","033","012100",,,,,132
"53033026400","53033026400","53033026400, King, Washington","00","53","033","026400",,,,,126
"53033026500","53033026500","53033026500, King, Washington","00","53","033","026500",,,,,118
"53033026600","53033026600","53033026600, King, Washington","00","53","033","026600",,,,,124
